haluta;vill
aikoa;ska
voida,osata;kan
saada;får
täytyä;måste
harrastus;en hobby
puhua jostakin;prata, pratar om
harrastuksia;hobbyer
jääkiekko;ishockey
kuinka usein?;hur ofta?
kolme kertaa;tre gånger
kerta;en gång
viikossa;i veckan
viikonloppuisin;på veckosluten
olla, omistaa;ha, har
pelejä, otteluita;matcher
käsipallo;handboll
Missä joukkueessa sinä pelaat?;I vilket lag spelar du?
joukkue;ett lag
HIFK:ssa;i HIFK
Entä sinä?;Och du då?
se on; det är
poikajoukkue;pojklang
poikien kanssa;med pojkar
poika;en pojke
minä en voi;jag kan inte
tyttöjen kanssa;med flickor
tyttö;en flicka
ei ole (olemassa);det finns inte
tytöille;för flickor
lähellä meitä;nära oss
pitää, tykätä;gilla, gillar
tosi hyvä;jättebra
joukkuehenki;en lagkänsla
monta kaveria;många kompisar
joukkueessa;i laget
minun joukkueeni;mitt lag
taistella, tsempata;kämpa, kämpar
yhdessä;tillsammans
mitä paikkaa?;vilken position?
olla;vara, är
hyökkääjä;en anfallare
se on hauskaa;det är roligt
sillä;för
tehdä;göra, gör
usein;ofta
maaleja;mål
pakki;en back
kiva;kul
mutta;men
joukkuepeli;ett lagspel
puolustus;ett försvar
tärkein;viktigast
harrastuksia;hobbyer
Mikä sinun harrastuksesi on?;Vad är din hobby?
mennä, matkustaa; aka, åker
uida;simma, simmar
pelata, soittaa;spela, spelar
pelaa jalkapalloa;spelar fotboll
pelata koripalloa;spelar basket
pelata salibandya;spelar innebandy
laulaa;sjunga, sjunger
tanssia;dansa, dansar
käy partiossa, on partiolainen;är med i scouterna
hiihtää;åker skidor
luistelee;åker skridskor
lumilautailee;åker snowboard
laskettelee;åker slalom
näyttelee;spelar teater
soittaa kitaraa;spelar gitarr
soittaa pianoa;spelar plano
olla;vara, är
ratsastaa;rida, rider
harrastaa, harjoitella;träna, tränar
harrastaa voimistelua;tränar gymnastik
harrastaa yleisurheilua;tränar friidrott
