Sarjakuva;Serie
projekti 5;ett projekt, projektet, projekt, projekten
Mistä?;Om vadå? (puhek.)
kierrätys;återvinning, återvinningen
pullo 1;en flaska, flaskan, flaskor, flaskorna
purkki, tölkki 2;en burk, burken, burkar, burkarna
sellaista;sånt (puhek.) = sådant
kyllä sinä tiedät;du vet
olla tapana I;bruka, brukar, brukade, brukat
palauttaa pulloja/tölkkejä I;panta, pantar, pantade, pantat
tietysti, tottakai;förstås
aina;alltid
paljon taskurahaa;en massa fickpengar
sitten;då
Øya rokkaa vihreästi;Øya rockar grönt
heittää (pois) II;slänga, slänger, slängde, slängt
