tiedottaa jostakin I;informera, informerar, informerade, informerat om
ympäristökysymys 1;en miljöfråga, -frågan, -frågor, -frågorna
työ 5;ett jobb, jobbet, jobb, jobben
ottaa vastaan IV;ta, tar, tog, tagit emot
lasi-;glas-
muovi-;plast-
alumiini-;aluminium-
(pahvi)laatikko 3;en kartong, kartongen, kartonger, kartongerna
muu materiaali;annat material
jota voi kierrättää;som man kan återvinna
kierrättää IV;återvinna, återvinner, återvann, återvunnit
Töitä tehdään...;Man jobbar ...
ja sitten saa...;och så får man ...
kertoa I;berätta, berättar, berättade, berättat
Silloin voi...;Då kan man ...
katsoa, tsekata jotakin I;kolla, kollar, kollade, kollat in
