Sarjakuva;Serie
projekti 5;ett projekt, projektet, projekt, projekten
Mistä?;Om vadå? (puhek.)
kierrätys;återvinning, återvinningen
pullo 1;en flaska, flaskan, flaskor, flaskorna
purkki, tölkki 2;en burk, burken, burkar, burkarna
sellaista;sånt (puhek.) = sådant
kyllä sinä tiedät;du vet
olla tapana I;bruka, brukar, brukade, brukat
palauttaa pulloja/tölkkejä I;panta, pantar, pantade, pantat
tietysti, tottakai;förstås
aina;alltid
paljon taskurahaa;en massa fickpengar
sitten;då
Øya rokkaa vihreästi;Øya rockar grönt
heittää (pois) II;slänga, slänger, slängde, slängt
laatikko 1;en låda, lådan, lådor, lådorna
nurmikolle, nurmikolla;på gräsmattan
huutaa jollekin I;ropa, ropar, ropade, ropat åt
palautuspiste;en pantbod, -boden
on kiinnostunut jostakin;är intresserad av
olla IV;vara, är, var, varit
luonto ja ympäristö;natur och miljö
jäsen 2;en medlem, medlemmen, medlemmar, medlemmarna
norjalainen;norsk, norskt, norska
ympäristöjärjestö 3;en miljöorganisation, -organisationen, -organisationer, -organisationerna
monet muut;många andra
työskentelevät vapaaehtoisina;jobbar som frivilliga
vapaaehtoinen;frivillig, frivilligt, frivilliga
festivaalialue;ett festivalområde, -området
lajitella I;sortera, sorterar, sorterade, sorterat
roskat;sopor, soporna
tiedottaa jostakin I;informera, informerar, informerade, informerat om
ympäristökysymys 1;en miljöfråga, -frågan, -frågor, -frågorna
työ 5;ett jobb, jobbet, jobb, jobben
ottaa vastaan IV;ta, tar, tog, tagit emot
lasi-;glas-
muovi-;plast-
alumiini-;aluminium-
(pahvi)laatikko 3;en kartong, kartongen, kartonger, kartongerna
muu materiaali;annat material
jota voi kierrättää;som man kan återvinna
kierrättää IV;återvinna, återvinner, återvann, återvunnit
Töitä tehdään...;Man jobbar ...
ja sitten saa...;och så får man ...
kertoa I;berätta, berättar, berättade, berättat
Silloin voi...;Då kan man ...
katsoa, tsekata jotakin I;kolla, kollar, kollade, kollat in
lempiartistinsa;sina favoritartister
nauttia jostakin IV;njuta, njuter, njöt, njutit av
pitkä;lång, långt, långa
tänä vuonna;i år
useita palkintoja;flera pris
ympäristöpolitiikkansa ansiosta;för sin miljöpolitik
panostaa johonkin I;satsa, satsar, satsade, satsat på
ympäristöystävällinen;miljövänlig, -vänligt, -vänliga
kuljetukset;transporter, transporterna
puhdas;ren, rent, rena
energia;energi, energin
luomuruoka;ekologisk mat
seuraavana vuonna;nästa år
