ympäristökysymys;en miljöfråga, -frågan, -frågor, -frågorna
seuraavana vuonna;nästa år
kierrättää;återvinna, återvinner, återvann, återvunnit
paljon taskurahaa;en massa fickpengar
pullo;en flaska, flaskan, flaskor, flaskorna
luomuruoka;ekologisk mat
Töitä tehdään...;Man jobbar ...
lajitella;sortera, sorterar, sorterade, sorterat
palauttaa pulloja/tölkkejä;panta, pantar, pantade, pantat
roskat;sopor, soporna
heittää (pois);slänga, slänger, slängde, slängt
kuljetukset;transporter, transporterna
kertoa;berätta, berättar, berättade, berättat
panostaa johonkin;satsa, satsar, satsade, satsat på
lajitella;sortera, sorterar, sorterade, sorterat
nurmikolle, nurmikolla;på gräsmattan
on kiinnostunut jostakin;är intresserad av
nauttia jostakin;njuta, njuter, njöt, njutit av
jäsen;en medlem, medlemmen, medlemmar, medlemmarna
festivaalialue;ett festivalområde, -området
ympäristöystävällinen;miljövänlig, -vänligt, -vänliga
kierrätys;återvinning, återvinningen
palautuspiste;en pantbod, -boden
