tulla toimeen;get along
joutua kiusatuksi;be bullied
olla rakastunut;be in love
nyrkkitappelu;a fistfight
kunnianhimoinen;ambitious
olla peloissaan;be afraid
neuvot;advice
yrittää tehdä vaikutus;show off
näyttää, esittää;show, showed, shown
viedä aikaa;take up time
ottaa, viedä;take, took, taken
olla, viettää aikaa;hang out
riippua;hang, hung, hung
tuomita;judge
saavuttaa;achieve
päämäärä;a goal
kehu;praise
esitelmä;a presentation
toinen, muu;other
onnellisuus;happiness
tapa;a habit
hyväksyä;accept
ratkaisu;a solution
valoisa;bright
puoli;a side
mennyt;past
vaikeus;a difficulty
katsekontakti;eye contact
mielenkiinto;an interest
kunnioittaa;respect
mielipide;an opinion
myöntää;admit
virhe;a mistake
heikkous;a weakness
kohdella;treat
tapa;a way
kasvaa aikuiseksi;grow up
kasvaa, kasvattaa;grow, grew, grown
rannikko;a coast
viime viikolla;last week
yhtäkkiä;suddenly
kaatua, pudota;fall, fell, fallen
murtua, särkyä;break, broke, broken
kuitenkaan;though
monta kertaa;lots of times
vakava;serious
tähän mennessä;so far
rakas;fond
muisto;a memory
edelleen, vielä;still
kaveripaine;peer pressure
vaarallinen;dangerous
jamaikalainen;Jamaican
juuri;a root
kaveri;a mate
harjoitella;practise
keikka;a gig
alakoulu;primary school
aikuinen;an adult
ikä;age
muistaa;remember
millainen;what - like
olla lapsenvahtina;babysit, babysat, babysat
kahdesti;twice
yhdessä;together
ympärillä, ääressä;round
sota;a war
sisäoppilaitos;a boarding school
kuuluisa;famous
muotisuunnittelija;a fashion designer
kuntovalmentaja;a fitness trainer
esimerkiksi;for example
opetus, oppitunti;a lesson
opettaa;teach, taught, taught
antaa periksi, lopettaa, luopua;give up
antaa;give, gave, given
onnistua;succeed
jatkaa;keep on
pitää, säilyttää;keep, kept, kept
taistella, tapella;fight, fought, fought
lyödä;hit, hit, hit
krapula;a hangover
poliisi;a police officer
antaa, sallia;let, let, let
pitää, nauttia;enjoy
ammatti-;vocational
oppilaitos;a college
syrjäänvetäytynyt;withdrawn
ujo;shy
teini-iän keskivaihe;mid-teens
sitten;then
esitellä;present
klassikkoromaani;a classic novel
näyttää;seem
tuijottaa;stare at
luuseri;a loser
ääni;a voice
tylsä;dull
niellä, nieleskellä;swallow
yskiä;cough
lopettaa;finish
hiljaisuus;silence
tylsä;boring
jatkua;continue
poski;a cheek
minun pitää;I've got to
palaa;burn
kuulostaa;sound
mielenkiintoinen;interesting
etuosa;a front
kymmeniä;dozens
kello;a bell
tajuta, oivaltaa;realize
kokemus;an experience
arvo;a value
muuttua;change
yhdessä yössä;overnight
menestyä;do well
kuka tahansa;whoever
miten, kuitenkin;however
opinnot;studies
vahvuus, voimakkuus;a strength
täydellinen;perfect
