köysisilta; the rope bridge
Kenia;Kenya
mennä bussilla;take a bus
klinikka;a clinic
työkalu;a tool
katsotaan;Let me see
pohjoinen;north
matka;a journey
kanjoni;a canyon
puinen;wooden
maja;a hut
liaani;a liana
hukata;waste
lankku;a plank
sahata;saw
sitoa;tie
naru;string
narukerä;a ball of string
ötökkkä;a creepy-crawly
puoli, kaide;a side
ympäri;around
taskulamppu;a flashlight
keskiyö;midnight
hurraa;hooray
Pop up -yritykset;pop ups
katukahvila;a street cafe
valita, valitsi;choose, chose
vilkaista;take a look
suussasulava, tuo vieden kielelle;mouthwatering
paprika;a red pepper
tonnikala;a tuna
salaattikastike;dressing
viipale, pala;a piece
herätys;wake up
mango;a mango
kupillinen;a cup of
muki;mug
kuntosali;a gym
päättää;decide
välineet;equipment
keksiä, keksi;make up, made up
harjoitus;an exercise
kyläläinen;a villager
osallistua;join in
kuntoilutunti;a keep-fit lesson
nostaa;lift
astua;step
venytellä;stretch
kurkottaa;reach
ryömiä;crawl
krokotiili;a croc
notkea;flexible
kylpylä;a spa
rentoutumis-;relaxation
rentoutua;chill out
unikapseli;a sleep pod
vinkki;a tip
mukava;comfortable
vaivata;bother
takka;a fireplcae
kulma, nurkka;a corner
laittaa musiikki soimaan;put on music
hengittää sisään/ulost;breathe in/out
lempeästi;gently
jatkaa;keep going
rentoutunut;relaxed
rauhallinen;peaceful
Pidän elämästäni;I like my life
tyypillinen;typical
herätä;wake up
käydä suihkussa;have a shower
laittaa (silmiin);put in
piilolinssit;contact lenses
pukea ylle;put on
kouluuniformu;a school uniform
jauhelihanyytti;a minced meat dumpling
kouluaine;a subject
luonnontieteet;science
lounastauko;lunch break
ruokala;canteen
ankanliha;duck
eniten;the most
loppua;finish
harrastustoiminta koulun jälkeen;an afterschool activity
hyvässä kunnossa;fit
tennisharjoitukset;tennis practice
saksofoni;a saxophone
koko;whole
pyjama;pyjamas
jakaa;share
kerrossänky;a bunk bed
yläsänky;the top bunk
