hyväksyä;accept
haastatella;interview
saapua Chicagon päärautatieasemalle;arrive to Chicago's union station
sijaita Manhattanilla;locate to Manhattan
olla vaikuttunut;be impressed
ei malta odottaa näkevänsä;can't wait to see
lähettää terveisiä äidille;say hi to mom
mennä opastetulle kierrokselle;go to guided tour
yöpyä hostellissa;stay in a hotel
luottaa ystäviisi;trust to your friends
tarjota kesätyöpaikkoja;offer summer job
hakea työpaikkaa;apply for a job
se, joka päättää;the one who decides
Usko tai älä.;believe or not
musiikkiesitys;musical performance
jännittävä kaupunki;exciting city
mahtava nähtävyys;awesome sight
omaperäinen esitys;original performance
kulttuuritausta;cultural background
suosittu turistikohde;popular tourist attraction
maanlaajuinen tapahtuma;a world wide event
tiedekasvatus;science education
nuoret;young people
melkoinen kokemus;quite an experience
kiitollinen;thankfully
henkeäsalpaavan kaunis;breathtakingly beautiful
maailman kaunein kaupungin siluetti;world most beautiful city
päiväsaikaan;daytime
aivan ajallaan;exactly at the time
pitkään aikaan;long time
joka toinen päivä;every other day
lopulta;at the ending
ennen kaikkea;before anything
siinä tapauksessa;in that case
