Voinko auttaa sinua?;Kan jag hjälpa dig?
Odota vähän.;Vänta lite.
Kiitos avusta!;Tack för hjälpen!
Ole hyvä.;Var så god.
muuttaa, muuttaa;flytta, flyttar
asunto;en längenhet, längenheten, längenheter, längenheterna
ensimmäisessä kerroksessa;på första våningen
kerros;en våning, våningen, våningar, våningarna
naapuri;an granne, grannen, grannar, grannarna
Hauska tavata.;Trevlig att träffas.
vanhemmat;föräldrar, föräldrarna
vaihtaa, vaihtaa;byta, byter
uusi;ny, nytt, nya
mukava;trevlig, trevligt, trevliga
Toivottavasti te viihdytte.;Hoppas ni trivs.
kotona;hemma
joskus;ibland
Sepä hyvä.;Vad bra.
meteli, melu;oljud, oljudet
meidän rapussamme;i vår trappa
meidän;vår, vårt, våra
Ei hätää.;Det är lungt.
sopia hyvin, sopii hyvin;passa bra, passar bra
saa nähdä...;vi får se...
