mennä, menee, meni kahville (I);fika, fikar, fikade
sopia, sopii, sopi tai syöttää (I), syötti...;passa, passar, passade
tehdä, tekee, teki (IV); göra, gör, gjorde
nukkua, nukkuu, nukkui (IV);sova, sover, sov
voida, voi, voi (III);må, mår, mådde
soittaa, soittaa, soitti (II);ringa, ringer, ringde
mennä, menee, meni elokuviin (IV);gå, går, gick på bio
olla, on, oli (IV); vara, är, var
katsoa, katsoo, katsoi tv:tä (IV);se, ser, såg på tv
syödä, syö, söi (IV);äta, äter, åt
pelata, pelaa, pelasi (I);spela, spelar, spelade
olla, on, oli jollakin (IV);ha, har, hade
kohdata, kohtaa, kohtasi (II);möta, möter, mötte
voittaa, voittaa, voitti (IV);vinna, vinner, vann
tehdä, tekee, teki tai järjestää tai korjata (I);fixa, fixar, fixade
saada, saa, sai (IV);få, får, fick
syöttää, syöttää, syötti tai sopia (I);passa, passar, passade
alkaa, alkaa, alkoi (I);börja, börjar, började
treenata, treenaa, treenasi (I);träna, tränar, tränade
tulla, tulee, tuli (IV);komma, kommer, kom
