Anteeksi, missä sijaitsee;Ursäkta, var ligger ...?
sijaita,olla;ligga, ligger, låg
hotelli (V);ett hotell, hotellet, hotell, hotellen
En valitettavasti tiedä.;Jag vet inte, tyvärr.
kaupungissa (puhekieli);i stan
kaupungissa (kirjakieli);i staden
Kiitos joka tapauksessa.;Tack i alla fall.
Eipä kestä.;Ingen orsak.
Kuinka pääsen ...?;Hur kommer ja till ...?
Mene! Kävele!;Gå!
puiston läpi;genom parken
teatterin ohi;förbi teatern
Käänny sitten vasemmalle!;Ta sen till vänster!
vasemmalle, vasemmalla;till vänster
sillan yli;äver bron
Jatka!;Fortsätt!
Satamakatua pitkin;längs Hamngatan
kunnes;tills
oikealle, oikealla;till höger
Onko sinne pitkä matka?;Är det långt dit?
ei lainkaan;inte alls
(Siinä menee) ehkä 10 minuuuttia.;Det tar kanske tio minuter.
ensin;först
Et voi olla huomaamatta ...;Du kan inte missa ...
siellä on;där finns
Mutta kuulehan ...;Men du ...
Kiitos avusta!;Tack för hjälpen!
Kaikin mokomin.;För all del.
Hyvää päivän jatkoa!;Ha en bra dag!
Kiitos samoin.;Tack detsamma.
