Sarjakuva;Serie
Anteeksi, saanko häiritä?;Ursäkta, får jag störa?
häiritä II;störa, stör, störde, stört
turisti 3;en turist, turisten, turister, turisterna
Kyllä olen.;Ja, det är jag.
Kuinka niin?;Hur så?
Onko sinulla aikaa...?;Har du tid ...?
johonkin, jotakin varten;för (prepositio)
lyhyt;kort, kort, korta
haastattelu 3;en intervju, intervjun, intervjuer, intervjuerna
tietää IV;veta, vet, visste, vetat
työskennellä I;jobba, jobbar, jobbade, jobbat
tet-harjoittelijana;som praoelev
Länsi-Ruotsin paikallisradio;Radio Väst
pieni;liten, litet, små
gallupkysely;en gallup, gallupen
Milloin olet tullut tänne?;När har du kommit hit?
tulla IV;komma, kommer, kom, kommit
tänne;hit
toissapäivänä;i förrgår
Mistä olet kotoisin?;Varifrån kommer du?
kaupunki Keski-Ruotsissa;Östersund
mutta;men
nyt olen asunut;nu har jag bott
asua III;bo, bor, bodde, bott
vuosi 5;ett år, året, år, åren
Oletko ollut...?;Har du varit ...?
olla IV;vara, är, var, varit
aikaisemmin, ennen;förut
En ole.;Nej, det har jag inte.
Mitä sinä olet tehnyt täällä?;Vad har du gjort här?
tehdä IV;göra, gör, gjorde, gjort
Olen kierrellyt katselemassa kaupunkia.;Jag har gått runt och tittat på stan.
kierrellä IV;gå, går, gick, gått runt
katsella jotakin I;titta, tittar, tittade, tittat på
Olen myös käynyt tervehtimässä...;Jag har också hälsat på ...
käydä tervehtimässä jotakuta I;hälsa, hälsar, hälsade, hälsat på
minun;min, mitt, mina
täti (isän sisko) 2;en faster, fastern, fastrar, fastrarna
sitten olen shoppaillut;så har jag shoppat
shoppailla I;shoppa, shoppar, shoppade, shoppat
vähän;lite
tietysti;förstås
Mitä olet suunnitellut...?;Vad har du planerat ...?
suunnitella I;planera, planerar, planerade, planerat
tälle päivälle, täksi päiväksi;för idag
Tänä iltana menen...;I kväll ska jag (gå) ...
huvipuisto Göteborgissa;Liseberg
serkku 3;en kusin, kusinen, kusiner, kusinerna
Hän on ostanut...;Hon har köpt...
ostaa II;köpa, köper, köpte, köpt
lippu 3;en biljett, biljetten, biljetter, biljetterna
konsertti 3;en konsert, konserten, konserter, konserterna
Kuulostaa kivalta.;Det låter kul.
loppuunmyyty;slutsåld, slutsålt, slutsålda
kauan;länge
Minä en ole saanut...;Jag har inte fått ...
saada IV;få, får, fick, fått
sitten(hän) meillä on ollut onnea.;Då har vi haft tur.
olla jollakin IV;ha, har, hade, haft
todellakin;verkligen
Mukavaa iltaa!;Ha en trevlig kväll!
meno-paluu;tur och retur
matkustaa II;åka, åker, åkte, åkt
seuraavalla junalla;med nästa tåg
paluu;retur, returen
sunnuntai-iltana;på söndag kväll
yhdestoista maaliskuuta;den elfte mars
Katsotaanpa...;Då ska vi se ...
nuorisoalennuksella;med ungdomsrabatt
milloin;när
perillä;framme
Mutta kuulehan!;Men du ...
Pidä kiirettä!;Skynda dig!
Juna lähtee ihan pian raiteelta 12.;Tåget går strax från spår 12.
kuinka, miten;hur
mennä IV;gå, går, gick, gått
matka 1;en resa, resan, resor, resorna
nopeasti;snabbt
nopea;snabb, snabbt, snabba
nukkua IV;sova, sover, sov, sovit
melkein koko ajan;nästan hela tiden
tarvita II;behöva, behöver, behövde, behövt
bussilippu 3;en bussbiljett, -biljetten, -biljetter, -biljetterna
tuolla;där
kioski/ketjun nimi;Pressbyrån
saada IV;få, får, fick, fått
tavata I;träffa, träffar, träffade, träffat
sinun;din, ditt, dina
tyttöystävä, tyttö 3;en tjej, tjejen, tjejer, tjejerna
Äh.;Äsch.
kaveri 2;en kompis, kompisen, kompisar, kompisarna
hän on matkustanut;hon har åkt
talviurheilukeskus Keski-Ruotsissa;Sälen
Voi ei!;Ojdå!
auringossa;i solen
aikoa;ska
jäädä, viipyä I;stanna, stannar, stannade, stannat
viikonlopuksi;över helgen
mikä, mitä (en-sanat);vilken
mikä, mitä (ett-sanat);vilket
mikä, mitä (monikko);vilka
Ei kovin paljon.;Inte så mycket.
Matkustamme Teneriffalle...;Vi ska (åka) till Teneriffa ...
jo;redan
Siinä tapauksessa on parasta ostaa...;Då är det bäst att köpa ...
viiden matkan lippu;ett 5-resorskort, -kortet
Se on voimassa...;Det gäller ...
kaikissa busseissa;på alla bussar
bussi 2;en buss, bussen, bussar, bussarna
raitiovaunu 2;en spårvagn, -vagnen, -vagnar, -vagnarna
vene 2;en båt, båten, båtar, båtarna
juna 5;ett tåg, tåget, tåg, tågen
maksaa, olla hintana I;kosta, kostar, kostade, kostat
käydä, toimia I;funka, funkar, funkade, funkat
lentokenttäbussi 2;en flygbuss, -bussen, -bussar, -bussarna
myös;också
Valitettavasti ei.;Tyvärr inte.
täytyy;måste
toinen, muu (en-sanat);annan
toinen, muu (ett-sanat);annat
toiset, muut (monikko);andra
joka maksaa;som kostar
ottaa IV;ta, tar, tog, tagit
Sitten se maksaa...;Då blir det ...
maanantaina;på måndag
tiistaina;på tisdag
keskiviikkona;på onsdag
torstaina;på torsdag
perjantaina;på fredag
lauantaina;på lördag
sunnuntaina;på söndag
