joskus;nångång (puhek.) = någon gång
nälkäinen;hungrig, hungrigt, hungriga
hengailla kaupungilla II;hänga på stan
hengailla; roikkua II;hänga, hänger, hängde, hängt
kavereidensa kanssa;med sina kompisar
jossakin viihtyisässä kahvilassa;på något mysigt kahvilassa
kahvila 3;ett kafé, kaféet, kaféer, kaféerna
kesällä;på sommaren
tuntikausia;i timmar
kommentoida I;kommentera, kommenterar, kommenterade, kommenterat
jotka kävelevät ohi;som går förbi
Tivolin kahviloissa on kallista;det är dyrt på Tivolis kaféer
Se on enemmän sosiaalinen juttu...;Det är mer en social grej ...
sanoa IV;säga, säger, sade, sagt
