odottaa I;vänta, väntar, väntade, väntat
kauan;länge
joitakin minuutteja;några minuter
Mutta kiva nähdä taas.;Men kul att ses igen.
Joo, pitkästä aikaa.;Ja, det var länge sen.
enimmäkseen; eniten;mest
ottaa rennosti I;slappa, slappar, slappade, slappat
protuleiri;ett protuläger, -lägret
Kultaa vai hopeaa?;Guld eller silver?
istua IV;sitta, sitter, satt, suttit
laiturilla;på bryggan
ottaa aurinkoa I;sola, solar, solade, solat
tyttö 3;en tjej, tjejen, tjejer, tjejerna
pelata rantalentistä;spela beachvolley
pelata, soittaa I;spela, spelar, spelade, spelat
