rannalla;på stranden
stereot;en stereo, stereon
äänenvoimakkuus on täysillä;volymen är på max
kesäleiri (Ruotsissa) 4;ett sommarkollo, -kollot, -kollon, -kollona
huippu;toppen, toppen, toppen
kesäleiri (Ruotsissa) 5;ett kolloläger
leiri 5;ett läger, lägret, läger, lägren
ehdottomasti;absolut
kesäloma;ett sommarlov, -lovet
viihtyä tosi hyvin II;stortrivas, -trivs, -trivdes, -trivts
ohjaaja 5;en ledare, ledaren, ledare, ledarna
todella;verkligen
reilu;sjyst, sjyst, sjysta
on kiva saada;det är kul att få
uusi;ny, nytt, nya
