Siellä on...;Där finns ...
myös;också
keittiö 5;ett kök, köket, kök, köken
ruokasali;en matsal, matsalen
Meillä ei ole aikaa roikkua...;Vi har inte tid att hänga ...
Joka päivä tapahtuu...;Det händer ... varje dag.
niin paljon uutta;så mycket nytt
urheilla I;sporta, sportar, sportade, sportat
kalastaa I;fiska, fiskar, fiskade, fiskat
meloa I;paddla, paddlar, paddlade, paddlat
retki 3;en utflykt, utflykten, utflykter, utflykterna
iltaisin;på kvällarna
grillata I;grilla, grillar, grillade, grillat
jutella I;prata, pratar, pratade, pratat
totuus vai tehtävä;sanning eller konka
