kerran viikossa;en gång i veckan
Tykkään tanssia...;Jag gillar att dansa ...
tanssia I;dansa, dansar, dansade, dansat
erityisesti;speciellt
tuolla;där borta
pitkät hiukset;långt hår
toppi 2;en topp, toppen, toppar, topparna
Mårten tykkää soittaa...;Mårten tycker om att spela ...
laulaa IV;sjunga, sjunger, sjöng, sjungit
ottaa esille jotakin I;plocka, plockar, plockade, plockat fram
kännykkänsä;sin mobil
näyttää I;visa, visar, visade, visat
peruukki päässä;en peruk på huvudet
Tosi siisti kuva, vai mitä?;Grym bild, va?
kuva 3;en bild, bilden, bilder, bilderna
