usein;ofta
väsynyt;trött, trött, trötta
kun;när
tulla kotiin IV;komma hem
tulla IV;komma, kommer, kom, kommit
maksaa, suorittaa maksu I;betala, betalar, betalade, betalat
kännykkälasku 2;en mobilräkning, -räkningen, -räkningar, -räkningarna
salikortti;ett gymkort, -kortet
tarvita II;behöva, behöver, behövde, behövt
koska;eftersom
keskellä kaupunkia;mitt i stan
pyöräillä I;cykla, cyklar, cyklade, cyklat
jos ei sada;om det inte regnar
vaikea;svår, svårt, svåra
säästää I;spara, sparar, sparade, sparat
