Missä olet?;Var är du?
Nähdäänkö?;Ska vi ses?
Kahvit kaupungilla?;Fika på stan?
Gotlanti;Gotland
Aurinkoa ja merta.;Sol och hav.
Soitan tänä iltana.;Ringer i kväll.
Mitä kuuluu?;Läget?
Ihan hyvää.;Bara bra.
kiva;kul, kul, kul
soittaa (puhelimella) II;ringa, ringer, ringde, ringt
tehdä IV;göra, gör, gjorde, gjort
pyöräillä I;cykla, cyklar, cyklade, cyklat
kanssa;med
isä;en farsa, farsan
sisko;en syrra, syrran
pyöräilyloma;en cykelsemester, -semestern
Mahtavaa!;Häftigt!
mahtava, upea;häftig, häftigt, häftiga
Millainen sää siellä on?;Hur är vädret där?
sää;väder, vädret
On ukkonen.;Det åskar.
ukkostaa I;åska, åskar, åskade, åskat
Täällä on huippua.;Här är det kanon.
Aurinko paistaa.;Solen skiner.
paistaa IV;skina, skiner, sken, skinit
On lämmintä.;Det är varmt.
lämmin;varm, varmt, varma
alkaa I;börja, börjar, började, börjat
tuulla II;blåsa, blåser, blåste, blåst
Puhelimessa suhisee.;Det susar i telefonen.
kuinka kauan;hur länge
olla IV;vara, är, var, varit
tulla IV;komma, kommer, kom, kommit
kaupunki Gotlannissa;Visby
toissapäivänä;i förrgår
tänä aamuna;i morse
vuokrata II;hyra, hyr, hyrde, hyrt
polkupyörä 2;en cykel, cykeln, cyklar, cyklarna
matkalla etelään päin;på väg söderut
Kuulostaa ihanalta.;Det låter härligt.
ihana;härlig, härligt, härliga
melkein;nästan
kateellinen;avundsjuk, avundsjukt, avundsjuka
kesällä;på sommaren
ei koskaan;aldrig
telttailla I;tälta, tältar, tältade, tältat
Öölanti;Öland
eräänä kesänä;en sommar
hurjan kylmä;svinkall, -kallt, -kalla
Satoi vettä.;Det regnade.
sataa vettä I;regna, regnar, regnade, regnat
koko ajan;hela tiden
viipyä I;stanna, stannar, stannade, stannat
Vielä viisi päivää.;Fem dagar till.
tulla kotiin;komma hem
täydellinen;perfekt, perfekt, perfekta
jollakin on juhlat IV;ha, har, hade, haft fest
Sepä kiva!;Vad kul!
Nähdään silloin!;Vi ses då!
lopettaaI;sluta, slutar, slutade, slutat
akku;ett batteri, batteriet
loppu; tyhjä;tom, tomt, tomma
Millainen sää on?;Hur är vädret?
Aurinko paistaa.;Solen skiner.
On kylmä.;Det är kallt.
On pilvistä.;Det är mulet.
On lämmin.;Det är varmt.
Tuulee.;Det blåser.
Sataa vettä.;Det regnar.
Sataa lunta.;Det snöar.
Myrskyää.;Det stormar.
Ukkostaa.;Det åskar.
