vaarallinen kokemus;dangerous experience
kaveripaine;peer pressure
rakkain muistoni;fondest memory
vakava virhe;unforgivable mistake
tylsä ääni;boring voice
ammattioppilaitos;vocational college
ujo ja syrjäänvetäytynyt;shy and withdrawn
vahvuudet ja heikkoudet;weaknesses and strengths
täydellinen hiljaisuus;perfect silence
olla kunnianhimoinen;be ambitious
olla rakastunut;be in love
joutua nyrkkitappeluun;be in a fist fight
pelätä poliisia;be scared of police
pitää esitelmä;keep a presentation
luopua huonoista tavoista;give away bad habits
tulla toimeen kaverien kanssa;get along with friends
saada paljon kehuja;get a lot of praise
tulla kuuluisaksi;become famous
olla lapsenvahtina pikkusiskolle;be a babysitter for little sister
jatkaa taistelemista;keep fighting
kasvaa aikuiseksi;grow up
esittää kavereille;show off for friends
saavuttaa päämäärä;achieve a destination
esitellä klassikkoromaani;present a classic romance
nauttia opinnoista;enjoy the studies
kuulostaa mielenkiintoiselta;sounds interesting
kunnioittaa aikuisia;respect adults
muistaa harjoitella;remember to practice
tuomita muita;judge others
myöntää virhe;admit a mistake
muuttua yhdessä yössä;change in one night
