joitakin;några
antaa;ge, ger
tassu;en tass
nukkua;sova, sover
jonkin päällä;på
peitto;ett täcke
jossakin;i
huone;ett rum
työ;ett jobb
myös;också
rakkaus;kärlek
todellakin;verkligen
ihminen;en människa
paras;bästa
ystävä;en vän
pieni;liten
paljon;mycket
todella kiltti;jättesnäll
leikkiä;leka, leker
se;det
tehdä;göra, gör
temppu;ett trick
istua;sitta, sitter
maata;ligga, ligger
ja;och
ruskea;brun
suuri;stor
vuosi;ett år
valkoinen;vit
pörröinen;lurvig
villi;vild
haukkua;skälla, skäller
rauhallinen;lugn
rakastaa;älska, älskar
kaikki;alla
hyvä;bra
kaveri;en kompis
he, ne;de
usein;ofta
yhdessä;tillsammans
kanssa;med
pallo;en boll
pehmoeläin;ett mjukdjur
mennä, kävellä;gå, går
ulos;ut
joka päivä;varje dag
pitää, tykätä;gilla, gillar
useimmiten;oftast
osaa, voi;kan
